date,nav,benchmark
2026-01-02,99.58,100.46
2026-01-05,99.23,100.26
2026-01-06,97.41,100.14
2026-01-07,99.8,100.53
2026-01-08,102.09,100.78
2026-01-09,103.06,100.98
2026-01-12,99.58,101.72
2026-01-13,100.76,102.17
2026-01-14,97.3,100.8
2026-01-15,95.6,100.47
2026-01-16,96.33,100.49
2026-01-19,97.5,100.02
2026-01-20,98.25,100.38
2026-01-21,97.0,101.81
2026-01-22,98.25,102.84
2026-01-23,97.09,102.28
2026-01-26,96.5,102.25
2026-01-27,97.9,102.5
2026-01-28,97.1,101.77
2026-01-29,96.15,102.81
2026-01-30,94.64,103.07
2026-02-02,95.6,101.89
2026-02-03,95.81,103.0
2026-02-04,91.87,102.79
2026-02-05,91.78,102.17
2026-02-06,92.85,102.17
2026-02-09,90.1,102.9
2026-02-10,91.48,103.73
2026-02-11,94.35,104.08
2026-02-12,94.7,103.05
2026-02-13,96.04,102.6
2026-02-16,95.24,101.61
2026-02-17,93.42,101.23
2026-02-18,96.06,99.64
2026-02-19,93.24,99.88
2026-02-20,96.18,100.39
2026-02-23,92.45,98.42
2026-02-24,93.26,97.89
2026-02-25,91.18,98.7
2026-02-26,93.4,98.87
2026-02-27,93.99,99.27
2026-03-02,97.25,99.81
2026-03-03,98.43,100.3
2026-03-04,95.3,101.37
2026-03-05,97.33,101.85
2026-03-06,93.41,101.39
2026-03-09,95.18,99.97
2026-03-10,94.92,100.84
2026-03-11,92.42,102.18
2026-03-12,93.6,102.11
2026-03-13,94.36,102.69
2026-03-16,94.71,103.69
2026-03-17,93.51,103.4
2026-03-18,95.66,103.47
2026-03-19,94.01,104.3
2026-03-20,97.01,103.99
2026-03-23,94.32,103.93
2026-03-24,94.14,103.73
2026-03-25,97.03,102.93
2026-03-26,99.71,101.94
2026-03-27,98.18,102.5
2026-03-30,100.63,103.26
2026-03-31,101.48,103.43
2026-04-01,101.93,103.95
2026-04-02,101.67,104.24
2026-04-03,103.02,104.29
2026-04-06,104.79,104.81
2026-04-07,109.34,105.14
2026-04-08,108.49,104.88
2026-04-09,108.59,105.71
2026-04-10,107.96,106.09
2026-04-13,112.25,103.96
2026-04-14,109.74,104.22
2026-04-15,110.79,104.47
2026-04-16,109.92,105.07
2026-04-17,110.7,104.68
2026-04-20,116.48,105.03
2026-04-21,115.26,105.0
2026-04-22,114.86,105.0
2026-04-23,108.41,104.64
2026-04-24,110.84,103.72
2026-04-27,110.82,104.56
2026-04-28,112.94,105.86
2026-04-29,109.04,105.61
2026-04-30,108.39,106.19
2026-05-01,111.01,103.97
2026-05-04,113.68,102.81
2026-05-05,115.45,101.64
2026-05-06,116.01,102.66
2026-05-07,115.79,102.87
2026-05-08,117.87,103.04
2026-05-11,117.79,104.35
2026-05-12,120.52,104.16
2026-05-13,127.62,103.26
2026-05-14,130.22,103.09
2026-05-15,130.74,103.72
2026-05-18,131.5,104.3
2026-05-19,127.44,103.1
2026-05-20,129.24,102.35
2026-05-21,126.61,101.2
2026-05-22,130.13,101.85
2026-05-25,134.31,101.14
2026-05-26,134.48,100.27
2026-05-27,136.8,101.59
2026-05-28,134.41,102.91
2026-05-29,137.36,102.82
